City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Jamestown,US,85.01,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
238,Faanui,PF,77.31,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Martinsicuro,IT,84.13,clear sky,42.8811,13.9145,Hotel Rivadoro
242,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
248,Kavieng,PG,81.05,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Akyab,MM,81.5,light rain,20.15,92.9,Hotel Memory
251,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
252,Vengurla,IN,77.76,overcast clouds,15.8667,73.6333,Golven Resort
254,Norton Shores,US,84.97,overcast clouds,43.1689,-86.2639,Hampton Inn Muskegon
255,Ajdabiya,LY,78.28,clear sky,30.7554,20.2263,Almadina Hotel
256,Nanton,CA,85.82,clear sky,50.3501,-113.7687,Changing Seasons Bed and Breakfast
257,Wanning,CN,79.47,few clouds,18.8003,110.3967,Paradise Hotel
258,Port Dickson,MY,79.02,broken clouds,2.5228,101.7959,Glory Beach Resort
259,Mitu,CO,76.23,overcast clouds,1.1983,-70.1733,
263,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
264,Cluses,FR,78.53,clear sky,46.0625,6.575,The Originals Hôtel du Faucigny
271,Huescar,ES,76.12,clear sky,37.811,-2.5412,Hotel El Maño
280,Galeana,MX,80.71,scattered clouds,24.8333,-100.0667,Mirador
283,Sao Filipe,CV,75.33,overcast clouds,14.8961,-24.4956,Hotel Xaguate
285,Umm Lajj,SA,87.46,clear sky,25.0213,37.2685,Moon light Furnished Units
287,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
290,Oyama,JP,82.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
291,Conceicao Do Araguaia,BR,85.26,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
292,Katsuura,JP,78.55,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
298,Buala,SB,80.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
300,Paragominas,BR,78.76,clear sky,-2.9667,-47.4833,INOVA
309,Aguimes,ES,75.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
312,Saint Anthony,US,87.35,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
316,Labuhan,ID,75.24,overcast clouds,-6.8844,112.2051,DoubleFAG
319,Kalispell,US,87.49,clear sky,48.1958,-114.3129,Red Lion Hotel Kalispell
320,Dingle,PH,77.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
322,Moindou,NC,75.38,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
323,Bukama,CD,75.07,scattered clouds,-9.2,25.85,
325,Craig,US,89.55,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
327,Ourossogui,SN,81.34,overcast clouds,15.6064,-13.3211,Hotel welma
329,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
332,Isangel,VU,78.08,clear sky,-19.55,169.2667,Tanna Lodge
333,The Valley,AI,86.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
334,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
335,Qui Nhon,VN,76.66,overcast clouds,13.7667,109.2333,Seagull Hotel
337,Bandarbeyla,SO,75.67,few clouds,9.4942,50.8122,JABIR HOTEL
338,Afua,BR,78.37,broken clouds,-0.1567,-50.3867,Hotel Dias
340,Rurrenabaque,BO,89.49,scattered clouds,-14.4413,-67.5278,Casa de Campo
341,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
342,Batman,TR,82.2,clear sky,37.8874,41.1322,Hotel Izgi Turhan
344,Kogon,UZ,78.84,clear sky,39.7228,64.5517,AFROSIYOB
352,Salina Cruz,MX,85.84,overcast clouds,16.1667,-95.2,Amerik HOTEL
359,Dutse,NG,78.76,few clouds,11.7594,9.3392,Central Mosque Galamawa
367,Lingao,CN,78.48,clear sky,19.9103,109.6859,Lingao Ditai Inn
370,Korla,CN,75.94,clear sky,41.7597,86.1469,Gulisitan Hotel
371,Talcher,IN,81.27,overcast clouds,20.95,85.2167,Hotel Green Park
372,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
378,Veraval,IN,81.46,light rain,20.9,70.3667,Lords Inn Somnath
381,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
384,Accra,GH,75.61,clear sky,5.556,-0.1969,Accra City Hotel
387,Maumere,ID,77.59,overcast clouds,-8.6199,122.2111,Sylvia Hotel
391,Lagdo,CM,76.41,overcast clouds,9.05,13.7333,
395,Meulaboh,ID,77.99,light rain,4.1363,96.1285,Kost Pria
396,Pacific Grove,US,79.25,haze,36.6177,-121.9166,Lovers Point Inn
397,Missoula,US,84.65,clear sky,47.0166,-113.8009,Gold Creek Cabin
400,Najran,SA,88.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
401,Huilong,CN,79.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
402,Tucupita,VE,79.5,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
404,Mora,CM,80.76,light rain,11.0461,14.1401,Hotel Emergence
406,Port Blair,IN,79.16,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
407,Disraeli,CA,83.21,few clouds,45.9001,-71.3491,Auberge De La Chanterelle
411,Poum,NC,77.13,overcast clouds,-20.2333,164.0167,
414,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
415,Darnah,LY,77.65,clear sky,32.767,22.6367,فندق الفردوس
420,Lorengau,PG,81.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
422,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
423,Gizo,SB,81.48,scattered clouds,-8.103,156.8419,Imagination Island
426,Nador,MA,79.05,clear sky,35.174,-2.9287,Hôtel La Giralda
427,Darab,IR,88.92,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
432,Jaicos,BR,80.64,overcast clouds,-7.3592,-41.1378,Hotel Jaicós
435,Touros,BR,77.05,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
437,Pangoa,PE,84.45,clear sky,-12.1167,-73.0,
438,Sao Miguel Do Araguaia,BR,83.25,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
443,Le Vauclin,MQ,86.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
446,Nicolet,CA,84.11,scattered clouds,46.2168,-72.6158,Montfort Nicolet Hotel
449,Marzuq,YE,77.54,clear sky,14.4,46.4667,
453,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
461,Bajil,YE,88.39,scattered clouds,15.0584,43.2851,فندق حضرموت
463,Kuching,MY,75.42,thunderstorm with light rain,1.55,110.3333,Hilton Kuching
464,Romans-Sur-Isere,FR,79.57,clear sky,45.0464,5.0562,le clos des tanneurs
466,La Peca,PE,79.9,light rain,-5.6111,-78.435,Hospedaje San Miguelito
470,Sakti,IN,80.2,overcast clouds,22.0333,82.9667,C.B. Sweet Home
473,Gull Lake,CA,84.83,clear sky,50.1001,-108.4847,Campbell's Accommodations
474,Tarakan,ID,78.6,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
479,Bow Island,CA,85.21,clear sky,49.8668,-111.3684,Silver Sage Motel
486,Guerrero Negro,MX,80.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
489,Fort Payne,US,88.81,overcast clouds,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
490,Fukue,JP,77.45,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
493,Am Timan,TD,78.58,moderate rain,11.0297,20.2827,Palais du chef Canton Salamt
495,Anta,IN,80.94,overcast clouds,25.15,76.3,Agnisaman Kendra
496,Batticaloa,LK,80.02,overcast clouds,7.7102,81.6924,Grand Star Guest House
497,Tucurui,BR,80.94,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
499,Hoa Binh,VN,75.96,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
504,Palmas De Monte Alto,BR,76.59,clear sky,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
505,Dabakala,CI,75.78,overcast clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
507,Natal,BR,75.42,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
511,Adeje,ES,81.21,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
512,Merrill,US,83.62,scattered clouds,45.1805,-89.6835,Prairie Motel
516,Palora,EC,78.91,overcast clouds,-1.7,-77.9333,Rancho grande
517,Anupgarh,IN,84.51,overcast clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
521,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
526,Gushikawa,JP,83.79,broken clouds,26.3544,127.8686,Kirari Guest House
527,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
528,Gigmoto,PH,81.37,scattered clouds,13.7796,124.39,Cj's Travellers Inn
529,Thayetmyo,MM,78.15,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
532,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
533,Sheboygan,US,87.78,scattered clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
535,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
538,Malpe,IN,78.1,light rain,13.35,74.7167,Hotel Sri Krishna Residency
544,Saltillo,MX,89.02,scattered clouds,25.4167,-101.0,City Express Saltillo Sur
547,Ranong,TH,77.41,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
553,Gusau,NG,78.46,scattered clouds,12.1628,6.6614,GUEST INN
554,Sao Raimundo Nonato,BR,82.9,scattered clouds,-9.0153,-42.6994,Real Hotel
556,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
558,Namie,JP,77.72,overcast clouds,37.4833,141.0,いこいの村なみえ
563,Meiktila,MM,78.85,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
566,Two Hills,CA,77.49,overcast clouds,53.7169,-111.7518,Junction Inn
568,Tutoia,BR,78.46,broken clouds,-2.7619,-42.2744,Pousada Guará's
570,Luganville,VU,79.92,few clouds,-15.5333,167.1667,The Espiritu Hotel
572,Olmos,PE,81.79,few clouds,-5.9847,-79.7453,Hospedaje El Olmo
573,Koulikoro,ML,81.18,overcast clouds,14.0,-7.75,
575,Jalu,LY,79.29,clear sky,29.0331,21.5482,صاحبة الفخامة
576,Misratah,LY,80.8,clear sky,32.3754,15.0925,Almasa Hotel
579,Galesong,ID,76.44,light rain,-5.3166,119.3661,Sapriadi Appy
581,Malumfashi,NG,77.56,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
583,Dafeng,CN,76.87,clear sky,23.4517,108.5881,Shenglong Hotel
585,Vadlapudi,IN,86.92,heavy intensity rain,14.3167,79.8,
588,Vinh,VN,75.54,broken clouds,18.6667,105.6667,Vuong Hoan 2
589,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
593,Narasannapeta,IN,81.79,moderate rain,18.4167,84.05,AVK events and catering
594,Mundo Nuevo,MX,85.23,broken clouds,18.7,-95.5,
606,Sur,OM,86.5,broken clouds,22.5667,59.5289,Sur Plaza Hotel
607,Zhezkazgan,KZ,76.95,few clouds,47.8043,67.7144,Hotel Zumrat
608,Dakar,SN,83.28,overcast clouds,14.6937,-17.4441,Novotel Dakar
609,Hirado,JP,76.39,broken clouds,33.3597,129.5531,Samson Hotel
612,Tual,ID,78.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
616,Rosetta,EG,76.8,clear sky,31.4044,30.4164,Green Valley
622,Sulangan,PH,83.7,overcast clouds,11.1373,123.7228,Maia's Beach Resort
626,Kabalo,CD,77.34,few clouds,-6.05,26.9167,
627,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Green leaf
638,Lakatoro,VU,79.9,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
640,Sibolga,ID,75.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
656,Sungairaya,ID,78.01,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
658,Port Moresby,PG,76.14,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
660,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
663,Ubala,CO,79.75,broken clouds,4.7478,-72.5369,HATO SANTA LETICIA
668,Namatanai,PG,79.72,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
671,Bethlehem,BR,87.84,scattered clouds,-1.4558,-48.5044,Mercure Belém Boulevard
672,Lhokseumawe,ID,76.32,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
674,Gazanjyk,TM,82.47,clear sky,39.2446,55.5154,Railway motel
678,Sao Felix Do Xingu,BR,85.5,few clouds,-6.6447,-51.995,Rio Xingu Camping
680,Havre-Saint-Pierre,CA,75.56,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
683,Barra Do Corda,BR,84.02,few clouds,-5.5,-45.25,Belchior Palace Hotel
688,Tottori,JP,75.29,broken clouds,35.5,134.2333,Hotel Monarque Tottori
689,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
693,Goderich,CA,80.92,clear sky,43.7501,-81.7165,Harmony Inn
