City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodiak,US,2022-07-17 04:33:16,57.79,-152.4072,58.51,82,100,0.0
68,Pedasi,PA,2022-07-17 04:33:16,7.5333,-80.0333,76.06,80,100,5.28
69,Kathu,TH,2022-07-17 04:33:16,7.9178,98.3332,85.82,99,100,8.81
70,Port Alfred,ZA,2022-07-17 04:33:17,-33.5906,26.891,66.22,40,13,12.59
71,Zhezkazgan,KZ,2022-07-17 04:28:55,47.8043,67.7144,80.58,36,0,13.42
72,Xiantao,CN,2022-07-17 04:33:17,30.3833,113.4,83.68,82,98,6.76
73,Santiago Del Estero,AR,2022-07-17 04:33:18,-27.7951,-64.2615,42.3,74,0,4.92
74,Inuvik,CA,2022-07-17 04:30:17,68.3499,-133.7218,57.96,94,100,4.61
75,Arraial Do Cabo,BR,2022-07-17 04:23:59,-22.9661,-42.0278,70.65,88,100,19.93
76,Puerto Ayora,EC,2022-07-17 04:33:18,-0.7393,-90.3518,68.56,95,29,8.99
77,Umm Bab,QA,2022-07-17 04:33:19,25.2142,50.8072,93.16,58,90,3.36
78,Batagay-Alyta,RU,2022-07-17 04:33:19,67.8006,130.4114,46.44,90,100,3.58
79,Iqaluit,CA,2022-07-17 04:33:14,63.7506,-68.5145,53.33,81,100,6.91
80,Khatanga,RU,2022-07-17 04:33:20,71.9667,102.5,68.4,41,42,5.57
81,Coihaique,CL,2022-07-17 04:33:20,-45.5752,-72.0662,36.21,93,40,5.75
82,Linqiong,CN,2022-07-17 04:33:20,30.4159,103.4609,89.42,76,100,3.65
83,Irbit,RU,2022-07-17 04:33:21,57.6705,63.071,64.31,99,100,3.2
84,Bluff,NZ,2022-07-17 04:33:21,-46.6,168.3333,52.81,78,97,16.55
85,Guerrero Negro,MX,2022-07-17 04:33:22,27.9769,-114.0611,67.05,85,5,11.16
86,Back Mountain,US,2022-07-17 04:33:22,41.3359,-75.9963,67.06,94,91,1.9
87,Buchanan,LR,2022-07-17 04:33:22,5.8808,-10.0467,75.49,87,100,9.98
88,Vaini,TO,2022-07-17 04:33:23,-21.2,-175.2,78.96,89,75,5.75
89,Markova,UA,2022-07-17 04:33:23,48.6758,24.4138,57.09,73,51,6.82
90,Thompson,CA,2022-07-17 04:33:23,55.7435,-97.8558,68.16,88,75,0.0
91,Lebu,CL,2022-07-17 04:33:24,-37.6167,-73.65,47.7,91,100,25.81
92,Hobart,AU,2022-07-17 04:32:09,-42.8794,147.3294,52.27,61,20,24.16
93,Honiara,SB,2022-07-17 04:33:24,-9.4333,159.95,86.7,59,60,9.01
94,Ponta Do Sol,PT,2022-07-17 04:33:24,32.6667,-17.1,68.72,76,29,7.23
95,Gawler,AU,2022-07-17 04:34:25,-34.6,138.7333,57.09,87,20,19.13
96,Souillac,MU,2022-07-17 04:34:25,-20.5167,57.5167,71.98,73,40,13.8
97,Nome,US,2022-07-17 04:34:25,64.5011,-165.4064,62.17,55,0,12.66
98,Riyadh,SA,2022-07-17 04:34:21,24.6877,46.7219,87.94,13,100,12.88
99,Mar Del Plata,AR,2022-07-17 04:33:22,-38.0023,-57.5575,44.1,74,75,11.5
100,Hamilton,US,2022-07-17 04:33:20,39.1834,-84.5333,79.65,79,20,0.0
101,Comodoro Rivadavia,AR,2022-07-17 04:26:12,-45.8667,-67.5,40.86,60,0,10.36
102,Egvekinot,RU,2022-07-17 04:34:26,66.3167,-179.1667,45.88,89,100,3.06
103,Narsaq,GL,2022-07-17 04:34:26,60.9167,-46.05,46.62,84,69,2.89
104,Saint-Philippe,RE,2022-07-17 04:34:27,-21.3585,55.7679,68.22,80,36,14.83
105,Aranos,NA,2022-07-17 04:34:27,-24.1333,19.1167,46.31,46,0,10.83
106,Beisfjord,NO,2022-07-17 04:34:27,68.3751,17.5988,51.04,96,100,4.09
107,Channahon,US,2022-07-17 04:34:28,41.4295,-88.2287,71.28,91,100,1.01
108,Hilo,US,2022-07-17 04:34:25,19.7297,-155.09,82.27,97,100,11.5
109,Beringovskiy,RU,2022-07-17 04:34:28,63.05,179.3167,61.5,72,100,12.71
110,Elko,US,2022-07-17 04:30:17,41.0002,-115.5012,84.22,22,59,2.3
111,Balakhta,RU,2022-07-17 04:34:29,55.38,91.6,69.98,48,88,4.21
112,Monrovia,LR,2022-07-17 04:32:26,6.3005,-10.7969,76.21,85,99,11.03
113,Sao Pedro Do Sul,BR,2022-07-17 04:34:29,-29.6206,-54.1789,47.14,93,99,10.2
