City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,Deputatskiy,69.3,139.9,41.92,81,4,5.12,RU,clear sky
81,Comodoro Rivadavia,-45.8667,-67.5,44.46,29,40,19.57,AR,scattered clouds
82,Pingshan,22.9938,114.7131,78.39,87,0,0.47,CN,clear sky
83,Khatanga,71.9667,102.5,50.09,84,100,13.53,RU,overcast clouds
84,Binzhou,37.3667,118.0167,74.34,73,2,3.11,CN,clear sky
85,Punta Arenas,-53.15,-70.9167,35.62,80,40,26.46,CL,scattered clouds
86,Black River,18.0264,-77.8487,89.67,55,10,17.9,JM,clear sky
87,Port Elizabeth,-33.918,25.5701,46.69,93,0,3.44,ZA,clear sky
88,Yulara,-25.2406,130.9889,48.67,41,0,7.83,AU,clear sky
89,Tazovskiy,67.4667,78.7,43.75,84,100,3.24,RU,overcast clouds
90,Cocobeach,1.0002,9.5823,76.77,80,47,8.25,GA,scattered clouds
91,Darhan,49.4867,105.9228,54.75,96,100,6.2,MN,light rain
92,Sorland,67.667,12.6934,54.12,91,100,21.9,NO,overcast clouds
93,Betong,5.7743,101.0723,70.99,99,100,2.26,TH,overcast clouds
94,Mihaesti,45.0333,24.25,70.57,40,0,5.82,RO,clear sky
95,Lompoc,34.6391,-120.4579,94.01,69,0,19.57,US,clear sky
96,Mao,39.8885,4.2658,79.36,73,0,5.75,ES,clear sky
97,Paita,-5.0892,-81.1144,69.08,68,24,14.76,PE,few clouds
98,Witu,-2.3889,40.4382,75.36,80,2,14.54,KE,clear sky
99,Mackay,-21.15,149.2,58.68,87,34,4.56,AU,scattered clouds
100,Anloga,5.7947,0.8973,75.54,79,12,13.69,GH,few clouds
101,Boda,4.3189,17.4695,70.48,95,100,1.45,CF,moderate rain
102,Hithadhoo,-0.6,73.0833,80.64,73,99,5.99,MV,moderate rain
103,Vila,42.0304,-8.1588,68.7,70,45,1.86,PT,scattered clouds
104,Talagang,32.9297,72.4158,80.19,78,100,6.71,PK,moderate rain
105,Tuktoyaktuk,69.4541,-133.0374,53.6,100,100,9.22,CA,light rain
106,Lata,40.1629,-8.3327,66.58,73,66,4.81,PT,broken clouds
107,Cabo San Lucas,22.8909,-109.9124,97.9,41,0,12.66,MX,clear sky
108,Daru,-9.0763,143.2092,75.72,92,67,7.65,PG,broken clouds
109,Nabire,-3.3667,135.4833,75.34,89,26,2.68,ID,scattered clouds
110,Pacatuba,-3.9842,-38.6203,76.37,80,96,4.21,BR,overcast clouds
111,Souillac,-20.5167,57.5167,70.18,78,75,23.02,MU,broken clouds
112,Tablas,6.6292,122.1747,79.2,81,100,1.48,PH,overcast clouds
113,Coquimbo,-29.9533,-71.3436,55.13,82,100,8.05,CL,overcast clouds
114,Sorong,-0.8833,131.25,78.04,89,14,10.58,ID,few clouds
115,Dayong,25.0209,118.2898,79.66,89,3,1.52,CN,clear sky
116,Jinchang,38.4953,102.1739,59.32,50,0,9.73,CN,clear sky
117,Ribeira Grande,38.5167,-28.7,75.6,83,20,8.05,PT,few clouds
118,Codrington,-38.2667,141.9667,48.02,82,59,12.53,AU,broken clouds
119,Esperance,-33.8667,121.9,53.89,82,72,18.43,AU,broken clouds
120,Orotina,9.912,-84.5234,88.56,79,100,4.09,CR,overcast clouds
121,Tautira,-17.7333,-149.15,75.56,77,20,10.83,PF,light rain
122,Espanola,35.9911,-106.0806,94.87,23,35,1.01,US,scattered clouds
123,Airai,-8.9266,125.4092,54.88,92,99,3.6,TL,overcast clouds
124,Dwarka,22.2394,68.9678,82.89,82,100,19.35,IN,overcast clouds
125,Westport,41.1415,-73.3579,88.45,71,20,10.36,US,few clouds
126,Tay Ninh,11.3,106.1,73.85,95,82,3.31,VN,broken clouds
127,Kapaa,22.0752,-159.319,81.12,72,40,17.27,US,scattered clouds
128,Horsham,51.064,-0.3272,70.27,83,75,8.05,GB,broken clouds
129,Alyangula,-13.8483,136.4192,67.15,68,89,12.66,AU,overcast clouds
130,Kajaani,64.2273,27.7285,69.85,60,0,6.91,FI,clear sky
131,Samarai,-10.6167,150.6667,79.21,82,32,6.85,PG,scattered clouds
132,Manokwari,-0.8667,134.0833,77.85,80,97,3.67,ID,overcast clouds
133,Yellowknife,62.456,-114.3525,68.52,42,75,5.75,CA,broken clouds
